Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,InSample7_RateOfReturn,OutSample7_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample7_AvgTrade,OutSample7_AvgTrade,Score_7,Pass7,Para8,InSample8_RateOfReturn,OutSample8_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample8_AvgTrade,OutSample8_AvgTrade,Score_8,Pass8,Para9,Pass9
2_40_1_50_4.csv,1.743340875,0.981199839046615,13.0,14.0,0.13410314423076922,0.07008570278904393,0.5226253507407558,Yes,2_20_2_50_10.csv,1.4185973101158962,0.05725200745807465,8.0,13.0,0.17732466376448702,0.00440400057369805,0.024835803887648725,No,2_40_1.75_50_6.csv,0.701243456801313,0.9838954884936872,9.0,14.0,0.07791593964459033,0.07027824917812052,0.9019752504903521,Yes,2_40_0.75_50_4.csv,3.544857685824413,-0.4807413056417612,21,12,0.16880274694401967,-0.04006177547014677,-0.23732893092926102,No,No Plateau,No,2_80_1.25_225_16.csv,1.2508910684743861,0.18485492261462405,4.0,6.0,0.31272276711859653,0.03080915376910401,0.09851906227671614,No,2_80_1_125_6.csv,1.0157039217472341,0.5733000099005248,10.0,7.0,0.10157039217472341,0.08190000141436068,0.8063373554123398,Yes,2_100_1.5_100_8.csv,1.118034213478263,-0.18237278475466448,4.0,6.0,0.27950855336956576,-0.030395464125777413,-0.10874609653032184,No,No Plateau,No
2_40_0.75_50_4.csv,1.725794125,1.1418877333591728,15.0,14.0,0.11505294166666666,0.0815634095256552,0.7089206789858716,Yes,2_20_2_50_12.csv,1.4185973101158962,0.05725200745807465,8.0,13.0,0.17732466376448702,0.00440400057369805,0.024835803887648725,No,2_40_2_75_6.csv,0.546567739422415,0.853083335847801,10.0,13.0,0.0546567739422415,0.06562179506521547,1.2006159590494903,Yes,2_40_0.75_75_4.csv,2.8484609358987476,-0.4719271129796719,20,9,0.1424230467949374,-0.05243634588663021,-0.36817317889659223,No,,,2_80_1.25_225_18.csv,1.2508910684743861,0.18485492261462405,4.0,6.0,0.31272276711859653,0.03080915376910401,0.09851906227671614,No,2_80_1_225_6.csv,1.0157036668439907,0.045791810618466586,10.0,6.0,0.10157036668439907,0.007631968436411098,0.07513971530815933,No,2_100_1.5_125_8.csv,1.118034213478263,-0.18237278475466448,4.0,6.0,0.27950855336956576,-0.030395464125777413,-0.10874609653032184,No,,
2_40_1_50_6.csv,1.243123,0.83665240381379,13.0,14.0,0.09562484615384616,0.059760885986699284,0.624951447143276,Yes,2_20_2_50_14.csv,1.4185973101158962,0.05725200745807465,8.0,13.0,0.17732466376448702,0.00440400057369805,0.024835803887648725,No,2_40_2_100_6.csv,0.546567649144448,0.4335674364946759,10.0,13.0,0.0546567649144448,0.03335134126882122,0.6101960355872995,Yes,2_20_0.75_50_4.csv,2.8046818730558436,-0.21693382112248638,25,19,0.11218727492223374,-0.01141756953276244,-0.10177241171672011,No,,,2_80_1.25_225_20.csv,1.2508910684743861,0.18485492261462405,4.0,6.0,0.31272276711859653,0.03080915376910401,0.09851906227671614,No,2_80_1_175_6.csv,1.0157036309266212,0.12095498994758011,10.0,6.0,0.10157036309266212,0.020159164991263353,0.1984748737471013,No,2_100_1.5_50_8.csv,1.118034213478263,-0.18237278475466448,4.0,6.0,0.27950855336956576,-0.030395464125777413,-0.10874609653032184,No,,
2_40_1_75_4.csv,1.137062125,1.0200467967209892,10.0,13.0,0.11370621249999999,0.07846513820930687,0.6900690514980162,Yes,2_20_2_50_16.csv,1.4185973101158962,0.05725200745807465,8.0,13.0,0.17732466376448702,0.00440400057369805,0.024835803887648725,No,2_40_2_50_6.csv,0.546567614315903,0.6717553418252622,10.0,14.0,0.054656761431590296,0.047982524416090154,0.8778881726489819,Yes,2_20_1.25_75_6.csv,2.787216854138844,-0.3470288156071777,19,11,0.1466956239020444,-0.03154807414610706,-0.21505804540681595,No,,,2_80_1.25_225_12.csv,1.250891052678871,0.16502879054559702,4.0,7.0,0.31272276316971775,0.02357554150651386,0.0753879930822918,No,2_80_1_200_6.csv,1.0157035321425345,0.0457916482743469,10.0,6.0,0.10157035321425345,0.007631941379057816,0.07513945888283885,No,2_100_1.5_75_8.csv,1.118034213478263,-0.18237278475466448,4.0,6.0,0.27950855336956576,-0.030395464125777413,-0.10874609653032184,No,,
2_40_1.25_75_8.csv,1.110528125,1.0357904493691596,8.0,9.0,0.138816015625,0.1150878277076844,0.8290673607761849,Yes,2_20_2_50_18.csv,1.4185973101158962,0.05725200745807465,8.0,13.0,0.17732466376448702,0.00440400057369805,0.024835803887648725,No,2_40_2_100_4.csv,0.5150427330595246,0.45690985218628405,12.0,15.0,0.042920227754960384,0.030460656812418937,0.7097039882063192,Yes,2_20_1_75_4.csv,2.6895206629646426,-0.3745605558992985,23,13,0.11693568099846273,-0.028812350453792192,-0.2463948574787106,No,,,2_80_1.25_200_16.csv,1.2508910260236017,0.18485496954488223,4.0,6.0,0.3127227565059004,0.030809161590813705,0.09851909063174429,No,2_80_1_150_6.csv,1.0157035303739115,0.5733000005378752,10.0,7.0,0.10157035303739115,0.08190000007683931,0.8063376529437623,Yes,2_100_1.5_150_8.csv,1.1180335380434052,-0.18237274946772505,4.0,6.0,0.2795083845108513,-0.03039545824462084,-0.1087461411857604,No,,
2_40_1.25_75_4.csv,1.055787625,0.8824519872280095,14.0,12.0,0.07541340178571429,0.07353766560233413,0.975127283228649,Yes,2_20_2_50_20.csv,1.4185973101158962,0.05725200745807465,8.0,13.0,0.17732466376448702,0.00440400057369805,0.024835803887648725,No,2_40_2_50_4.csv,0.5150426912559056,0.7596539475255004,12.0,16.0,0.04292022427132547,0.047478371720343776,1.1062004573928463,Yes,2_20_1.25_75_4.csv,2.647084211919827,-0.24005404009135153,22,12,0.12032200963271941,-0.020004503340945962,-0.16625805537997013,No,,,2_80_1.25_200_18.csv,1.2508910260236017,0.18485496954488223,4.0,6.0,0.3127227565059004,0.030809161590813705,0.09851909063174429,No,2_80_1_100_6.csv,1.0157035458404655,0.4183869161023813,10.0,8.0,0.10157035458404655,0.052298364512797665,0.5148979220065858,Yes,2_120_1.75_100_8.csv,1.113875829195445,-0.15161895073186007,3.0,4.0,0.3712919430651483,-0.03790473768296502,-0.10208876974288157,No,,
2_40_1_50_10.csv,1.049205,0.9293273488987193,9.0,13.0,0.11657833333333333,0.07148671914605532,0.6132075927149584,Yes,2_20_2_50_8.csv,1.4185973101158962,0.05725200745807465,8.0,13.0,0.17732466376448702,0.00440400057369805,0.024835803887648725,No,2_40_2_75_4.csv,0.5150426624295983,0.8832567105118564,12.0,15.0,0.04292022186913319,0.05888378070079043,1.37193560835569,Yes,2_20_0.75_50_6.csv,2.60301908121109,-0.2728354186788288,22,19,0.11831904914595864,-0.014359758877833096,-0.12136472513499383,No,,,2_80_1.25_200_20.csv,1.2508910260236017,0.18485496954488223,4.0,6.0,0.3127227565059004,0.030809161590813705,0.09851909063174429,No,2_80_1_50_6.csv,1.0157035458404655,0.4183869161023813,10.0,8.0,0.10157035458404655,0.052298364512797665,0.5148979220065858,Yes,2_120_1.75_125_8.csv,1.113875829195445,-0.15161895073186007,3.0,4.0,0.3712919430651483,-0.03790473768296502,-0.10208876974288157,No,,
2_40_0.75_50_6.csv,1.04212925,0.8979665464367644,13.0,14.0,0.08016378846153846,0.06414046760262603,0.8001177194039399,Yes,2_40_0.75_75_4.csv,1.3998045092679323,0.4001435881707034,11.0,13.0,0.12725495538799383,0.03078027601313103,0.24187880086306696,No,2_40_1.75_100_6.csv,0.616534114891835,0.5629229048205462,9.0,12.0,0.06850379054353722,0.04691024206837885,0.6847831586569694,Yes,2_20_1.25_75_10.csv,2.5936929360544783,-0.2807338492678698,15,10,0.17291286240363188,-0.02807338492678698,-0.1623556775160835,No,,,2_80_1.25_100_16.csv,1.2508909719559849,0.18485502506338977,4.0,6.0,0.3127227429889962,0.030809170843898295,0.09851912447884348,No,2_80_1_75_6.csv,1.0157035458404655,0.4183869161023813,10.0,8.0,0.10157035458404655,0.052298364512797665,0.5148979220065858,Yes,2_120_1.75_50_8.csv,1.113875829195445,-0.15161895073186007,3.0,4.0,0.3712919430651483,-0.03790473768296502,-0.10208876974288157,No,,
2_40_1.5_50_10.csv,1.028982563,1.316398541666521,8.0,9.0,0.128622820375,0.14626650462961344,1.137173825011559,Yes,2_40_1.5_75_10.csv,1.3618181118346504,0.26243382356799183,8.0,8.0,0.1702272639793313,0.03280422794599898,0.19270842507333028,No,2_40_1.75_75_6.csv,0.6165341736343797,1.1990797815960992,9.0,13.0,0.06850379707048664,0.09223690627662301,1.3464495432525632,Yes,2_20_1.25_75_12.csv,2.5936929360544783,-0.2807338492678698,15,10,0.17291286240363188,-0.02807338492678698,-0.1623556775160835,No,,,2_80_1.25_100_18.csv,1.2508909719559849,0.18485502506338977,4.0,6.0,0.3127227429889962,0.030809170843898295,0.09851912447884348,No,2_80_0.75_50_4.csv,0.9742454321350021,0.2688181289180333,14.0,10.0,0.06958895943821444,0.02688181289180333,0.3862942212215536,No,2_120_1.75_75_8.csv,1.113875829195445,-0.15161895073186007,3.0,4.0,0.3712919430651483,-0.03790473768296502,-0.10208876974288157,No,,
2_40_1.25_75_10.csv,0.997223125,1.0357903176191192,7.0,9.0,0.14246044642857142,0.11508781306879103,0.8078580121991628,Yes,2_40_1.75_75_10.csv,1.3490110369736494,0.3346631651094359,6.0,7.0,0.22483517282894158,0.04780902358706227,0.21264032217697623,No,2_40_1.5_50_6.csv,0.5003032807127807,0.8457767927913995,12.0,16.0,0.04169194005939839,0.05286104954946247,1.2678961323016265,Yes,2_20_1.25_75_14.csv,2.5936929360544783,-0.2807338492678698,15,10,0.17291286240363188,-0.02807338492678698,-0.1623556775160835,No,,,2_80_1.25_100_20.csv,1.2508909719559849,0.18485502506338977,4.0,6.0,0.3127227429889962,0.030809170843898295,0.09851912447884348,No,2_80_0.75_75_4.csv,0.9742454321350021,0.2688181289180333,14.0,10.0,0.06958895943821444,0.02688181289180333,0.3862942212215536,No,2_120_1.75_150_8.csv,1.1138756356670485,-0.15161896148663523,3.0,4.0,0.37129187855568285,-0.03790474037165881,-0.10208879472157431,No,,
