Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,Pass7
2_40_1.25_50_8.csv,0.48743834374999995,0.04483043222215145,22724456.946,-20245748.696,1.1224310489683063,No,2_120_0.75_200_4.csv,0.20926968789002226,0.020167636267437762,15094022.490999999,-14105347.990999999,1.0700921735947833,No,2_20_1.25_50_4.csv,0.4980383483420838,0.0844775422821216,24099275.126,-19319582.626,1.2474014367974784,No,2_20_0.75_50_4.csv,0.19606152590830556,0.17243172395993828,23746479.5,-18456521.125,1.2866173066512825,No,2_100_1.75_225_4.csv,0.2805687282517158,0.03711685324370939,4719502.492,-3756897.273,1.2562234602255518,No,2_100_0.75_150_4.csv,0.2312210763506954,-0.039723447668359016,14352253.560999999,-13192383.560999999,1.0879196693028899,No,No Plateau,No
2_40_1.25_50_6.csv,0.47739353124999995,-0.04903287392617983,17013246.444000002,-15674331.444,1.0854208681744144,No,2_120_0.75_225_4.csv,0.20926967347147424,0.031097919868876917,13353982.353,-12381259.556,1.0785641228665315,No,2_20_1.5_150_4.csv,0.47472958898957474,0.017095722590893953,13424074.467,-10937493.060999999,1.2273447299241218,No,1_80_0.75_150_4.csv,0.17064631874455022,0.09086508597171786,15739371.124000002,-13472092.187,1.168294493945627,No,2_100_1.75_125_4.csv,0.28056869064512796,0.04462800223517363,7956974.628,-6332956.003,1.256439271681452,No,2_100_0.75_50_4.csv,0.23122107625978955,-0.038514543819057286,11115726.848,-10242013.598,1.0853067848074927,No,,
2_40_1.25_50_4.csv,0.47566106250000006,-0.08093243875821159,14519622.877999999,-13556650.94,1.0710331734778737,No,2_120_0.75_200_6.csv,0.19805813859288635,0.01799931278220643,10866611.612,-10164707.158,1.0690530915539043,No,2_20_1_50_4.csv,0.46587426436562995,0.02789399459395934,16389726.431,-14111217.340999998,1.1614679325631119,No,3_80_0.75_150_4.csv,0.17064631874455022,0.09086508597171786,15739371.124000002,-13472092.187,1.168294493945627,No,2_100_1.75_150_4.csv,0.2805686758238189,0.04462801325781722,7454781.126,-5933260.278,1.2564392554362842,No,2_100_0.75_100_4.csv,0.23122106279802396,-0.03851457150986506,13920956.999000002,-12826748.687,1.085306755336135,No,,
2_60_1.25_50_4.csv,0.45227534375,0.040814219903331186,17353536.15,-15085829.65,1.1503203040609702,No,2_120_0.75_225_6.csv,0.19805810128657553,0.028841836465263143,11836295.302000001,-10983814.349000001,1.0776124692127205,No,2_20_1.25_150_4.csv,0.47158466668734295,0.17278062365239105,19689175.952999998,-14753895.359000001,1.3345069538526606,No,2_20_1.25_150_4.csv,0.17278062365239105,0.07041232051678117,25850785.25,-21566012.5,1.1986817335842683,No,2_100_1.75_100_4.csv,0.2805686826556583,0.044627976313654144,9681710.22,-7705673.408,1.256439211393061,No,2_100_0.75_125_4.csv,0.23122106279802396,-0.03851457150986506,13920956.999000002,-12826748.687,1.085306755336135,No,,
2_40_1.25_50_10.csv,0.45199556249999995,0.03683930872426277,21735143.821999997,-19513385.072,1.1138581923024737,No,2_120_1.25_225_14.csv,0.19657233228063759,0.16317834230035394,18965499.004,-16977369.317,1.1171046968395286,No,2_20_1.5_50_4.csv,0.44825863144625044,-0.046068429152853675,14715600.968,-12971494.406,1.1344568719231964,No,2_20_1_225_10.csv,0.160522423872714,0.09072261313824008,16028945.312,-13524531.75,1.185175620738219,No,2_100_1.75_50_4.csv,0.2805686826556583,0.044627976313654144,9681710.22,-7705673.408,1.256439211393061,No,2_100_0.75_75_4.csv,0.23122106279802396,-0.03851457150986506,13920956.999000002,-12826748.687,1.085306755336135,No,,
2_40_1.25_50_12.csv,0.40276471875,0.031371683451603516,20664988.385,-18726276.26,1.103528971701713,No,2_120_1.25_225_16.csv,0.19657233228063759,0.16317834230035394,18965499.004,-16977369.317,1.1171046968395286,No,2_20_1.25_50_6.csv,0.44188266089262057,0.049430033015413426,25805794.155,-21994472.468000002,1.1732854330807494,No,2_20_1_225_12.csv,0.160522423872714,0.09072261313824008,16028945.312,-13524531.75,1.185175620738219,No,2_100_1.75_75_4.csv,0.2805686826556583,0.044627976313654144,9681710.22,-7705673.408,1.256439211393061,No,2_100_0.75_200_4.csv,0.17698241523215413,-0.03874348185833841,12819621.875,-11850591.75,1.0817706107376452,No,,
2_40_1.25_50_14.csv,0.40276471875,0.031371683451603516,20664988.385,-18726276.26,1.103528971701713,No,2_120_1.25_225_18.csv,0.19657233228063759,0.16317834230035394,18965499.004,-16977369.317,1.1171046968395286,No,2_20_1_125_4.csv,0.4181689022444143,0.048623733227095386,17755142.687,-14871343.156,1.1939165481388614,No,2_20_1_225_14.csv,0.160522423872714,0.09072261313824008,16028945.312,-13524531.75,1.185175620738219,No,2_100_1.75_200_4.csv,0.2805686603110101,0.058805040382526805,5673756.301,-4433601.676,1.279717195099689,No,2_100_0.75_225_4.csv,0.17698240838328128,-0.03874346192264467,12099677.687,-11185067.687,1.081770627196384,No,,
2_40_1.25_50_16.csv,0.40276471875,0.031371683451603516,20664988.385,-18726276.26,1.103528971701713,No,2_120_1.25_225_20.csv,0.19657233228063759,0.16317834230035394,18965499.004,-16977369.317,1.1171046968395286,No,2_20_1.25_150_6.csv,0.41741510650034414,0.15600203825205822,18688370.798,-14868215.439000001,1.2569343560209356,No,2_20_1_225_16.csv,0.160522423872714,0.09072261313824008,16028945.312,-13524531.75,1.185175620738219,No,2_100_1.75_175_4.csv,0.2805686273050053,0.04462800623158542,5342712.571,-4252264.883,1.2564392666034205,No,2_100_0.75_175_4.csv,0.17698239868180526,-0.039723428134897355,13115995.562,-12188181.687,1.076124060079414,No,,
2_40_1.25_50_18.csv,0.40276471875,0.031371683451603516,20664988.385,-18726276.26,1.103528971701713,No,2_120_1_225_8.csv,0.1869955099604922,0.09053915939288947,14993568.415,-13874059.149,1.0806908240751367,No,2_20_1.25_50_10.csv,0.3969385984111087,0.01409254443922154,24402226.062,-21628417.375,1.128248342858697,No,2_20_1_225_18.csv,0.160522423872714,0.09072261313824008,16028945.312,-13524531.75,1.185175620738219,No,2_120_1.75_225_4.csv,0.24766527369158692,-0.01368317345604787,10010068.838,-8674206.526,1.1540039781155655,No,2_120_1_100_4.csv,0.17488030540516492,-0.06344579082852675,12845822.124000002,-12297218.874000002,1.0446119773601745,No,,
2_40_1.25_50_20.csv,0.40276471875,0.031371683451603516,20664988.385,-18726276.26,1.103528971701713,No,2_120_1_225_10.csv,0.1869955094171794,0.11009779762828567,14887200.099000001,-13704608.082999999,1.086291560388871,No,2_20_1.25_50_12.csv,0.3969385984111087,0.01409254443922154,24402226.062,-21628417.375,1.128248342858697,No,2_20_1_225_20.csv,0.160522423872714,0.09072261313824008,16028945.312,-13524531.75,1.185175620738219,No,2_120_1.75_175_4.csv,0.24766527644294506,-0.013683205446625038,12279360.500999998,-10640657.689,1.1540039027563158,No,2_120_1_125_4.csv,0.17488030540516492,-0.06344579082852675,12845822.124000002,-12297218.874000002,1.0446119773601745,No,,
