AllPara,isExist1,Pass1,Score_1,isExist2,isExist3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,CountExist,CountPass,TotalExistPercent,ExistPassPercent
3_80_1.75_150_16.csv,Y,No,0.034793175135647385,N,N,N,,,N,,,1,0,0.2,0.0
3_80_1.75_150_18.csv,Y,No,0.034793175135647385,N,N,N,,,N,,,1,0,0.2,0.0
3_80_1.75_150_20.csv,Y,No,0.034793175135647385,N,N,N,,,N,,,1,0,0.2,0.0
3_80_1.75_150_4.csv,Y,No,0.034793175135647385,N,N,N,,,N,,,1,0,0.2,0.0
3_80_1.75_150_6.csv,Y,No,0.034793175135647385,N,N,N,,,N,,,1,0,0.2,0.0
3_80_1.75_150_8.csv,Y,No,0.034793175135647385,N,N,N,,,N,,,1,0,0.2,0.0
2_20_1_150_10.csv,Y,No,-0.17868057901149667,N,N,Y,No,-0.19557864373975328,N,,,2,0,0.4,0.0
2_20_1_150_12.csv,Y,No,-0.17868057901149667,N,N,Y,No,-0.19557864373975328,N,,,2,0,0.4,0.0
2_20_1_150_14.csv,Y,No,-0.17868057901149667,N,N,Y,No,-0.19557864373975328,N,,,2,0,0.4,0.0
2_20_1_150_16.csv,Y,No,-0.17868057901149667,N,N,Y,No,-0.19557864373975328,N,,,2,0,0.4,0.0
2_20_1_150_18.csv,Y,No,-0.17868057901149667,N,N,Y,No,-0.19557864373975328,N,,,2,0,0.4,0.0
2_20_1_150_20.csv,Y,No,-0.17868057901149667,N,N,Y,No,-0.19557864373975328,N,,,2,0,0.4,0.0
2_20_1_150_6.csv,Y,No,-0.17868057901149667,N,N,Y,No,-0.12865441078895462,N,,,2,0,0.4,0.0
2_20_1_150_8.csv,Y,No,-0.17868057901149667,N,N,Y,No,-0.19557864373975328,N,,,2,0,0.4,0.0
2_20_1_150_4.csv,Y,No,-0.09239739348584403,N,N,Y,No,-0.17270873861999633,N,,,2,0,0.4,0.0
2_20_0.75_75_10.csv,Y,No,-0.14090736557838837,N,N,Y,No,-0.05974872898717862,N,,,2,0,0.4,0.0
2_20_0.75_75_12.csv,Y,No,-0.14090736557838837,N,N,Y,No,-0.05974872898717862,N,,,2,0,0.4,0.0
2_20_0.75_75_14.csv,Y,No,-0.14090736557838837,N,N,Y,No,-0.05974872898717862,N,,,2,0,0.4,0.0
2_20_0.75_75_16.csv,Y,No,-0.14090736557838837,N,N,Y,No,-0.05974872898717862,N,,,2,0,0.4,0.0
2_20_0.75_75_18.csv,Y,No,-0.14090736557838837,N,N,Y,No,-0.05974872898717862,N,,,2,0,0.4,0.0
2_20_0.75_75_20.csv,Y,No,-0.14090736557838837,N,N,Y,No,-0.05974872898717862,N,,,2,0,0.4,0.0
2_20_0.75_75_8.csv,Y,No,-0.14090736557838837,N,N,Y,No,-0.05974872898717862,N,,,2,0,0.4,0.0
1_120_1.75_150_10.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
1_120_1.75_150_12.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
1_120_1.75_150_14.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
1_120_1.75_150_16.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
1_120_1.75_150_18.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
1_120_1.75_150_20.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
1_120_1.75_150_4.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
1_120_1.75_150_6.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
1_120_1.75_150_8.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
3_120_1.75_150_10.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
3_120_1.75_150_12.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
3_120_1.75_150_14.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
3_120_1.75_150_16.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
3_120_1.75_150_18.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
3_120_1.75_150_20.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
3_120_1.75_150_4.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
3_120_1.75_150_6.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
3_120_1.75_150_8.csv,Y,No,-0.007587967577127374,N,N,N,,,N,,,1,0,0.2,0.0
1_20_0.75_125_10.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
1_20_0.75_125_12.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
1_20_0.75_125_14.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
1_20_0.75_125_16.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
1_20_0.75_125_18.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
1_20_0.75_125_20.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
1_20_0.75_125_4.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
1_20_0.75_125_6.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
1_20_0.75_125_8.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
3_20_0.75_125_10.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
3_20_0.75_125_12.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
3_20_0.75_125_14.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
3_20_0.75_125_16.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
3_20_0.75_125_18.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
3_20_0.75_125_20.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
3_20_0.75_125_4.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
3_20_0.75_125_6.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
3_20_0.75_125_8.csv,Y,No,-0.07603421168001627,N,N,Y,No,-0.25890964272270905,N,,,2,0,0.4,0.0
2_20_1.25_125_4.csv,Y,No,-0.03751729723241271,N,N,N,,,N,,,1,0,0.2,0.0
1_20_0.75_100_10.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
1_20_0.75_100_12.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
1_20_0.75_100_14.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
1_20_0.75_100_16.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
1_20_0.75_100_18.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
1_20_0.75_100_20.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
1_20_0.75_100_4.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
1_20_0.75_100_6.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
1_20_0.75_100_8.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
3_20_0.75_100_10.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
3_20_0.75_100_12.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
3_20_0.75_100_14.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
3_20_0.75_100_16.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
3_20_0.75_100_18.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
3_20_0.75_100_20.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
3_20_0.75_100_4.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
3_20_0.75_100_6.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
3_20_0.75_100_8.csv,Y,No,-0.13048534888422159,N,N,Y,No,-0.20986148328670368,N,,,2,0,0.4,0.0
1_40_0.75_150_10.csv,Y,No,0.11631835443740292,N,N,Y,No,-0.1310228787402088,N,,,2,0,0.4,0.0
1_40_0.75_150_12.csv,Y,No,0.11631835443740292,N,N,Y,No,-0.1310228787402088,N,,,2,0,0.4,0.0
1_40_0.75_150_14.csv,Y,No,0.11631835443740292,N,N,Y,No,-0.1310228787402088,N,,,2,0,0.4,0.0
1_40_0.75_150_16.csv,Y,No,0.11631835443740292,N,N,Y,No,-0.1310228787402088,N,,,2,0,0.4,0.0
